"","SET","SET2"
"1",23.8477471872937,23.8477471872937
"2",12.3003856144325,12.3003856144325
"3",16.9613836829154,16.9613836829154
"4",19.2740128796299,19.2740128796299
"5",21.5725354441038,21.5725354441038
"6",26.4171001499104,26.4171001499104
"7",34.2584155377388,34.2584155377388
"8",23.3274727853104,23.3274727853104
"9",24.8710967640853,24.8710967640853
"10",24.0147358028387,24.0147358028387
"11",21.3922611598564,21.3922611598564
"12",20.3435844824908,20.3435844824908
"13",18.7737989058812,18.7737989058812
"14",15.1889930116571,15.1889930116571
"15",31.7707598949634,31.7707598949634
"16",20.7032996606831,20.7032996606831
"17",27.2521837244446,27.2521837244446
"18",32.4523407059179,32.4523407059179
"19",37.6692870644082,37.6692870644082
"20",23.2791051255404,23.2791051255404
"21",29.7290843280995,25.9891330138299
"22",35.9558492499939,30.5544588181304