"","clo","top","vel","rh","met","pmv"
"1",0,27,0,50,0.8,-2.55
"2",0,27,0.1,50,0.8,-2.55
"3",0,28,0,50,0.8,-1.74
"4",0,28,0.1,50,0.8,-1.76
"5",0,28,0.15,50,0.8,-2.23
"6",0,28,0.2,50,0.8,-2.62
"7",0,29,0,50,0.8,-0.93
"8",0,29,0.1,50,0.8,-1.02
"9",0,29,0.15,50,0.8,-1.42
"10",0,29,0.2,50,0.8,-1.75
"11",0,30,0,50,0.8,-0.14
"12",0,30,0.1,50,0.8,-0.28
"13",0,30,0.15,50,0.8,-0.6
"14",0,30,0.2,50,0.8,-0.88
"15",0,31,0,50,0.8,0.63
"16",0,31,0.1,50,0.8,0.46
"17",0,31,0.15,50,0.8,0.21
"18",0,31,0.2,50,0.8,0.01
"19",0,32,0,50,0.8,1.39
"20",0,32,0.1,50,0.8,1.21
"21",0,32,0.15,50,0.8,1.04
"22",0,32,0.2,50,0.8,0.89
"23",0,33,0,50,0.8,2.12
"24",0,33,0.1,50,0.8,1.97
"25",0,33,0.15,50,0.8,1.87
"26",0,33,0.2,50,0.8,1.78
"27",0,34,0.1,50,0.8,2.73
"28",0,34,0.15,50,0.8,2.71
"29",0,34,0.2,50,0.8,2.68
"30",0.25,26,0,50,0.8,-1.92
"31",0.25,26,0.1,50,0.8,-1.94
"32",0.25,26,0.15,50,0.8,-2.229
"33",0.25,26,0.2,50,0.8,-2.57
"34",0.25,27,0,50,0.8,-1.3
"35",0.25,27,0.1,50,0.8,-1.36
"36",0.25,27,0.15,50,0.8,-1.67
"37",0.25,27,0.2,50,0.8,-1.92
"38",0.25,27,0.3,50,0.8,-2.31
"39",0.25,27,0.4,50,0.8,-2.62
"40",0.25,28,0,50,0.8,-0.69
"41",0.25,28,0.1,50,0.8,-0.78
"42",0.25,28,0.15,50,0.8,-1.05
"43",0.25,28,0.2,50,0.8,-1.26
"44",0.25,28,0.3,50,0.8,-1.6
"45",0.25,28,0.4,50,0.8,-1.87
"46",0.25,28,0.5,50,0.8,-2.1
"47",0.25,28,1,50,0.8,-2.89
"48",0.25,29,0,50,0.8,-0.08
"49",0.25,29,0.1,50,0.8,-0.2
"50",0.25,29,0.15,50,0.8,-0.42
"51",0.25,29,0.2,50,0.8,-0.6
"52",0.25,29,0.3,50,0.8,-0.89
"53",0.25,29,0.4,50,0.8,-1.12
"54",0.25,29,0.5,50,0.8,-1.31
"55",0.25,29,1,50,0.8,-1.97
"56",0.25,30,0,50,0.8,0.53
"57",0.25,30,0.1,50,0.8,0.39
"58",0.25,30,0.15,50,0.8,0.21
"59",0.25,30,0.2,50,0.8,0.06
"60",0.25,30,0.3,50,0.8,-0.17
"61",0.25,30,0.4,50,0.8,-0.36
"62",0.25,30,0.5,50,0.8,-0.51
"63",0.25,30,1,50,0.8,-1.05
"64",0.25,31,0,50,0.8,1.12
"65",0.25,31,0.1,50,0.8,0.99
"66",0.25,31,0.15,50,0.8,0.84
"67",0.25,31,0.2,50,0.8,0.73
"68",0.25,31,0.3,50,0.8,0.55
"69",0.25,31,0.4,50,0.8,0.41
"70",0.25,31,0.5,50,0.8,0.29
"71",0.25,31,1,50,0.8,-0.13
"72",0.25,32,0,50,0.8,1.71
"73",0.25,32,0.1,50,0.8,1.58
"74",0.25,32,0.15,50,0.8,1.49
"75",0.25,32,0.2,50,0.8,1.41
"76",0.25,32,0.3,50,0.8,1.28
"77",0.25,32,0.4,50,0.8,1.18
"78",0.25,32,0.5,50,0.8,1.09
"79",0.25,32,1,50,0.8,0.8
"80",0.25,33,0,50,0.8,2.29
"81",0.25,33,0.1,50,0.8,2.19
"82",0.25,33,0.15,50,0.8,2.13
"83",0.25,33,0.2,50,0.8,2.08
"84",0.25,33,0.3,50,0.8,2.01
"85",0.25,33,0.4,50,0.8,1.95
"86",0.25,33,0.5,50,0.8,1.9
"87",0.25,33,1,50,0.8,1.73
"88",0.5,25,0,50,0.8,-1.54
"89",0.5,25,0.1,50,0.8,-1.59
"90",0.5,25,0.15,50,0.8,-1.84
"91",0.5,25,0.2,50,0.8,-2.04
"92",0.5,25,0.3,50,0.8,-2.34
"93",0.5,25,0.4,50,0.8,-2.57
"94",0.5,26,0,50,0.8,-1.04
"95",0.5,26,0.1,50,0.8,-1.12
"96",0.5,26,0.15,50,0.8,-1.34
"97",0.5,26,0.2,50,0.8,-1.51
"98",0.5,26,0.3,50,0.8,-1.78
"99",0.5,26,0.4,50,0.8,-1.98
"100",0.5,26,0.5,50,0.8,-2.15
"101",0.5,27,0,50,0.8,-0.55
"102",0.5,27,0.1,50,0.8,-0.64
"103",0.5,27,0.15,50,0.8,-0.83
"104",0.5,27,0.2,50,0.8,-0.98
"105",0.5,27,0.3,50,0.8,-1.22
"106",0.5,27,0.4,50,0.8,-1.4
"107",0.5,27,0.5,50,0.8,-1.54
"108",0.5,27,1,50,0.8,-2.03
"109",0.5,28,0,50,0.8,-0.05
"110",0.5,28,0.1,50,0.8,-0.15
"111",0.5,28,0.15,50,0.8,-0.32
"112",0.5,28,0.2,50,0.8,-0.46
"113",0.5,28,0.3,50,0.8,-0.65
"114",0.5,28,0.4,50,0.8,-0.81
"115",0.5,28,0.5,50,0.8,-0.93
"116",0.5,28,1,50,0.8,-1.35
"117",0.5,29,0,50,0.8,0.45
"118",0.5,29,0.1,50,0.8,0.34
"119",0.5,29,0.15,50,0.8,0.2
"120",0.5,29,0.2,50,0.8,0.09
"121",0.5,29,0.3,50,0.8,-0.09
"122",0.5,29,0.4,50,0.8,-0.22
"123",0.5,29,0.5,50,0.8,-0.32
"124",0.5,29,1,50,0.8,-0.67
"125",0.5,30,0,50,0.8,0.94
"126",0.5,30,0.1,50,0.8,0.83
"127",0.5,30,0.15,50,0.8,0.72
"128",0.5,30,0.2,50,0.8,0.63
"129",0.5,30,0.3,50,0.8,0.49
"130",0.5,30,0.4,50,0.8,0.38
"131",0.5,30,0.5,50,0.8,0.29
"132",0.5,30,1,50,0.8,0.01
"133",0.5,31,0,50,0.8,1.44
"134",0.5,31,0.1,50,0.8,1.33
"135",0.5,31,0.15,50,0.8,1.24
"136",0.5,31,0.2,50,0.8,1.17
"137",0.5,31,0.3,50,0.8,1.06
"138",0.5,31,0.4,50,0.8,0.98
"139",0.5,31,0.5,50,0.8,0.91
"140",0.5,31,1,50,0.8,0.69
"141",0.5,32,0,50,0.8,1.92
"142",0.5,32,0.1,50,0.8,1.83
"143",0.5,32,0.15,50,0.8,1.76
"144",0.5,32,0.2,50,0.8,1.71
"145",0.5,32,0.3,50,0.8,1.64
"146",0.5,32,0.4,50,0.8,1.58
"147",0.5,32,0.5,50,0.8,1.54
"148",0.5,32,1,50,0.8,1.38
"149",0.75,24,0,50,0.8,-1.26
"150",0.75,24,0.1,50,0.8,-1.31
"151",0.75,24,0.15,50,0.8,-1.51
"152",0.75,24,0.2,50,0.8,-1.65
"153",0.75,24,0.3,50,0.8,-1.87
"154",0.75,24,0.4,50,0.8,-2.03
"155",0.75,24,0.5,50,0.8,-2.17
"156",0.75,25,0,50,0.8,-0.84
"157",0.75,25,0.1,50,0.8,-0.91
"158",0.75,25,0.15,50,0.8,-1.08
"159",0.75,25,0.2,50,0.8,-1.21
"160",0.75,25,0.3,50,0.8,-1.41
"161",0.75,25,0.4,50,0.8,-1.56
"162",0.75,25,0.5,50,0.8,-1.67
"163",0.75,25,1,50,0.8,-2.05
"164",0.75,26,0,50,0.8,-0.42
"165",0.75,26,0.1,50,0.8,-0.51
"166",0.75,26,0.15,50,0.8,-0.66
"167",0.75,26,0.2,50,0.8,-0.77
"168",0.75,26,0.3,50,0.8,-0.95
"169",0.75,26,0.4,50,0.8,-1.08
"170",0.75,26,0.5,50,0.8,-1.18
"171",0.75,26,1,50,0.8,-1.52
"172",0.75,27,0,50,0.8,-0.01
"173",0.75,27,0.1,50,0.8,-0.1
"174",0.75,27,0.15,50,0.8,-0.23
"175",0.75,27,0.2,50,0.8,-0.33
"176",0.75,27,0.3,50,0.8,-0.49
"177",0.75,27,0.4,50,0.8,-0.6
"178",0.75,27,0.5,50,0.8,-0.69
"179",0.75,27,1,50,0.8,-0.98
"180",0.75,28,0,50,0.8,0.41
"181",0.75,28,0.1,50,0.8,0.32
"182",0.75,28,0.15,50,0.8,0.2
"183",0.75,28,0.2,50,0.8,0.11
"184",0.75,28,0.3,50,0.8,-0.02
"185",0.75,28,0.4,50,0.8,-0.12
"186",0.75,28,0.5,50,0.8,-0.19
"187",0.75,28,1,50,0.8,-0.45
"188",0.75,29,0,50,0.8,0.83
"189",0.75,29,0.1,50,0.8,0.73
"190",0.75,29,0.15,50,0.8,0.63
"191",0.75,29,0.2,50,0.8,0.56
"192",0.75,29,0.3,50,0.8,0.45
"193",0.75,29,0.4,50,0.8,0.37
"194",0.75,29,0.5,50,0.8,0.3
"195",0.75,29,1,50,0.8,0.09
"196",0.75,30,0,50,0.8,1.25
"197",0.75,30,0.1,50,0.8,1.15
"198",0.75,30,0.15,50,0.8,1.07
"199",0.75,30,0.2,50,0.8,1.01
"200",0.75,30,0.3,50,0.8,0.93
"201",0.75,30,0.4,50,0.8,0.86
"202",0.75,30,0.5,50,0.8,0.81
"203",0.75,30,1,50,0.8,0.63
"204",0.75,31,0,50,0.8,1.66
"205",0.75,31,0.1,50,0.8,1.57
"206",0.75,31,0.15,50,0.8,1.51
"207",0.75,31,0.2,50,0.8,1.47
"208",0.75,31,0.3,50,0.8,1.4
"209",0.75,31,0.4,50,0.8,1.35
"210",0.75,31,0.5,50,0.8,1.31
"211",0.75,31,1,50,0.8,1.18
"212",1,23,0,50,0.8,-1.06
"213",1,23,0.1,50,0.8,-1.12
"214",1,23,0.15,50,0.8,-1.28
"215",1,23,0.2,50,0.8,-1.39
"216",1,23,0.3,50,0.8,-1.56
"217",1,23,0.4,50,0.8,-1.68
"218",1,23,0.5,50,0.8,-1.78
"219",1,23,1,50,0.8,-2.08
"220",1,24,0,50,0.8,-0.71
"221",1,24,0.1,50,0.8,-0.77
"222",1,24,0.15,50,0.8,-0.91
"223",1,24,0.2,50,0.8,-1.02
"224",1,24,0.3,50,0.8,-1.17
"225",1,24,0.4,50,0.8,-1.28
"226",1,24,0.5,50,0.8,-1.37
"227",1,24,1,50,0.8,-1.65
"228",1,25,0,50,0.8,-0.35
"229",1,25,0.1,50,0.8,-0.42
"230",1,25,0.15,50,0.8,-0.54
"231",1,25,0.2,50,0.8,-0.64
"232",1,25,0.3,50,0.8,-0.78
"233",1,25,0.4,50,0.8,-0.88
"234",1,25,0.5,50,0.8,-0.96
"235",1,25,1,50,0.8,-1.21
"236",1,26,0,50,0.8,0.01
"237",1,26,0.1,50,0.8,-0.06
"238",1,26,0.15,50,0.8,-0.17
"239",1,26,0.2,50,0.8,-0.26
"240",1,26,0.3,50,0.8,-0.38
"241",1,26,0.4,50,0.8,-0.47
"242",1,26,0.5,50,0.8,-0.555
"243",1,26,1,50,0.8,-0.76
"244",1,27,0,50,0.8,0.37
"245",1,27,0.1,50,0.8,0.29
"246",1,27,0.15,50,0.8,0.2
"247",1,27,0.2,50,0.8,0.12
"248",1,27,0.3,50,0.8,0.01
"249",1,27,0.4,50,0.8,-0.06
"250",1,27,0.5,50,0.8,-0.13
"251",1,27,1,50,0.8,-0.32
"252",1,28,0,50,0.8,0.74
"253",1,28,0.1,50,0.8,0.66
"254",1,28,0.15,50,0.8,0.57
"255",1,28,0.2,50,0.8,0.51
"256",1,28,0.3,50,0.8,0.41
"257",1,28,0.4,50,0.8,0.35
"258",1,28,0.5,50,0.8,0.3
"259",1,28,1,50,0.8,0.13
"260",1,29,0,50,0.8,1.1
"261",1,29,0.1,50,0.8,1.02
"262",1,29,0.15,50,0.8,0.95
"263",1,29,0.2,50,0.8,0.9
"264",1,29,0.3,50,0.8,0.82
"265",1,29,0.4,50,0.8,0.76
"266",1,29,0.5,50,0.8,0.72
"267",1,29,1,50,0.8,0.58
"268",1,30,0,50,0.8,1.46
"269",1,30,0.1,50,0.8,1.39
"270",1,30,0.15,50,0.8,1.33
"271",1,30,0.2,50,0.8,1.29
"272",1,30,0.3,50,0.8,1.22
"273",1,30,0.4,50,0.8,1.18
"274",1,30,0.5,50,0.8,1.14
"275",1,30,1,50,0.8,1.03
"276",1.5,18,0,50,0.8,-1.67
"277",1.5,18,0.1,50,0.8,-1.7
"278",1.5,18,0.15,50,0.8,-1.84
"279",1.5,18,0.2,50,0.8,-1.93
"280",1.5,18,0.3,50,0.8,-2.07
"281",1.5,18,0.4,50,0.8,-2.17
"282",1.5,18,0.5,50,0.8,-2.25
"283",1.5,18,1,50,0.8,-2.49
"284",1.5,20,0,50,0.8,-1.11
"285",1.5,20,0.1,50,0.8,-1.16
"286",1.5,20,0.15,50,0.8,-1.27
"287",1.5,20,0.2,50,0.8,-1.36
"288",1.5,20,0.3,50,0.8,-1.48
"289",1.5,20,0.4,50,0.8,-1.57
"290",1.5,20,0.5,50,0.8,-1.63
"291",1.5,20,1,50,0.8,-1.84
"292",1.5,22,0,50,0.8,-0.55
"293",1.5,22,0.1,50,0.8,-0.6
"294",1.5,22,0.15,50,0.8,-0.7
"295",1.5,22,0.2,50,0.8,-0.77
"296",1.5,22,0.3,50,0.8,-0.88
"297",1.5,22,0.4,50,0.8,-0.95
"298",1.5,22,0.5,50,0.8,-1.01
"299",1.5,22,1,50,0.8,-1.18
"300",1.5,24,0,50,0.8,0.02
"301",1.5,24,0.1,50,0.8,-0.04
"302",1.5,24,0.15,50,0.8,-0.12
"303",1.5,24,0.2,50,0.8,-0.18
"304",1.5,24,0.3,50,0.8,-0.27
"305",1.5,24,0.4,50,0.8,-0.33
"306",1.5,24,0.5,50,0.8,-0.38
"307",1.5,24,1,50,0.8,-0.52
"308",1.5,26,0,50,0.8,0.6
"309",1.5,26,0.1,50,0.8,0.53
"310",1.5,26,0.15,50,0.8,0.46
"311",1.5,26,0.2,50,0.8,0.42
"312",1.5,26,0.3,50,0.8,0.35
"313",1.5,26,0.4,50,0.8,0.3
"314",1.5,26,0.5,50,0.8,0.26
"315",1.5,26,1,50,0.8,0.15
"316",1.5,28,0,50,0.8,1.17
"317",1.5,28,0.1,50,0.8,1.11
"318",1.5,28,0.15,50,0.8,1.06
"319",1.5,28,0.2,50,0.8,1.02
"320",1.5,28,0.3,50,0.8,0.97
"321",1.5,28,0.4,50,0.8,0.94
"322",1.5,28,0.5,50,0.8,0.91
"323",1.5,28,1,50,0.8,0.82
"324",1.5,30,0,50,0.8,1.76
"325",1.5,30,0.1,50,0.8,1.7
"326",1.5,30,0.15,50,0.8,1.67
"327",1.5,30,0.2,50,0.8,1.64
"328",1.5,30,0.3,50,0.8,1.61
"329",1.5,30,0.4,50,0.8,1.58
"330",1.5,30,0.5,50,0.8,1.57
"331",1.5,30,1,50,0.8,1.51
"332",1.5,32,0,50,0.8,2.34
"333",1.5,32,0.1,50,0.8,2.3
"334",1.5,32,0.15,50,0.8,2.28
"335",1.5,32,0.2,50,0.8,2.27
"336",1.5,32,0.3,50,0.8,2.26
"337",1.5,32,0.4,50,0.8,2.24
"338",1.5,32,0.5,50,0.8,2.23
"339",1.5,32,1,50,0.8,2.2
"340",2,14,0,50,0.8,-1.84
"341",2,14,0.1,50,0.8,-1.87
"342",2,14,0.15,50,0.8,-1.98
"343",2,14,0.2,50,0.8,-2.06
"344",2,14,0.3,50,0.8,-2.18
"345",2,14,0.4,50,0.8,-2.26
"346",2,14,0.5,50,0.8,-2.32
"347",2,14,1,50,0.8,-2.49
"348",2,16,0,50,0.8,-1.39
"349",2,16,0.1,50,0.8,-1.43
"350",2,16,0.15,50,0.8,-1.52
"351",2,16,0.2,50,0.8,-1.59
"352",2,16,0.3,50,0.8,-1.69
"353",2,16,0.4,50,0.8,-1.77
"354",2,16,0.5,50,0.8,-1.82
"355",2,16,1,50,0.8,-1.98
"356",2,18,0,50,0.8,-0.93
"357",2,18,0.1,50,0.8,-0.97
"358",2,18,0.15,50,0.8,-1.06
"359",2,18,0.2,50,0.8,-1.12
"360",2,18,0.3,50,0.8,-1.21
"361",2,18,0.4,50,0.8,-1.27
"362",2,18,0.5,50,0.8,-1.32
"363",2,18,1,50,0.8,-1.46
"364",2,20,0,50,0.8,-0.46
"365",2,20,0.1,50,0.8,-0.52
"366",2,20,0.15,50,0.8,-0.59
"367",2,20,0.2,50,0.8,-0.64
"368",2,20,0.3,50,0.8,-0.725
"369",2,20,0.4,50,0.8,-0.77
"370",2,20,0.5,50,0.8,-0.82
"371",2,20,1,50,0.8,-0.94
"372",2,22,0,50,0.8,0.01
"373",2,22,0.1,50,0.8,-0.05
"374",2,22,0.15,50,0.8,-0.11
"375",2,22,0.2,50,0.8,-0.15
"376",2,22,0.3,50,0.8,-0.22
"377",2,22,0.4,50,0.8,-0.27
"378",2,22,0.5,50,0.8,-0.3
"379",2,22,1,50,0.8,-0.41
"380",2,24,0,50,0.8,0.48
"381",2,24,0.1,50,0.8,0.43
"382",2,24,0.15,50,0.8,0.38
"383",2,24,0.2,50,0.8,0.34
"384",2,24,0.3,50,0.8,0.28
"385",2,24,0.4,50,0.8,0.24
"386",2,24,0.5,50,0.8,0.22
"387",2,24,1,50,0.8,0.13
"388",2,26,0,50,0.8,0.97
"389",2,26,0.1,50,0.8,0.91
"390",2,26,0.15,50,0.8,0.87
"391",2,26,0.2,50,0.8,0.84
"392",2,26,0.3,50,0.8,0.8
"393",2,26,0.4,50,0.8,0.76
"394",2,26,0.5,50,0.8,0.74
"395",2,26,1,50,0.8,0.67
"396",2,28,0,50,0.8,1.45
"397",2,28,0.1,50,0.8,1.4
"398",2,28,0.15,50,0.8,1.37
"399",2,28,0.2,50,0.8,1.35
"400",2,28,0.3,50,0.8,1.32
"401",2,28,0.4,50,0.8,1.29
"402",2,28,0.5,50,0.8,1.23
"403",2,28,1,50,0.8,1.27
"404",0,26,0,50,1,-1.62
"405",0,26,0.1,50,1,-1.62
"406",0,26,0.15,50,1,-1.96
"407",0,26,0.2,50,1,-2.34
"408",0,27,0,50,1,-1
"409",0,27,0.1,50,1,-1
"410",0,27,0.15,50,1,-1.36
"411",0,27,0.2,50,1,-1.69
"412",0,28,0,50,1,-0.39
"413",0,28,0.1,50,1,-0.42
"414",0,28,0.15,50,1,-0.76
"415",0,28,0.2,50,1,-1.05
"416",0,29,0,50,1,0.21
"417",0,29,0.1,50,1,0.13
"418",0,29,0.15,50,1,-0.15
"419",0,29,0.2,50,1,-0.39
"420",0,30,0,50,1,0.8
"421",0,30,0.1,50,1,0.68
"422",0,30,0.15,50,1,0.45
"423",0,30,0.2,50,1,0.26
"424",0,31,0,50,1,1.39
"425",0,31,0.1,50,1,1.25
"426",0,31,0.15,50,1,1.08
"427",0,31,0.2,50,1,0.94
"428",0,32,0,50,1,1.96
"429",0,32,0.1,50,1,1.83
"430",0,32,0.15,50,1,1.71
"431",0,32,0.2,50,1,1.61
"432",0,33,0,50,1,2.5
"433",0,33,0.1,50,1,2.41
"434",0,33,0.15,50,1,2.34
"435",0,33,0.2,50,1,2.29
"436",0.25,24,0,50,1,-1.52
"437",0.25,24,0.1,50,1,-1.52
"438",0.25,24,0.15,50,1,-1.8
"439",0.25,24,0.2,50,1,-2.06
"440",0.25,24,0.3,50,1,-2.47
"441",0.25,25,0,50,1,-1.05
"442",0.25,25,0.1,50,1,-1.05
"443",0.25,25,0.15,50,1,-1.33
"444",0.25,25,0.2,50,1,-1.57
"445",0.25,25,0.3,50,1,-1.94
"446",0.25,25,0.4,50,1,-2.24
"447",0.25,25,0.5,50,1,-2.48
"448",0.25,26,0,50,1,-0.58
"449",0.25,26,0.1,50,1,-0.61
"450",0.25,26,0.15,50,1,-0.87
"451",0.25,26,0.2,50,1,-1.08
"452",0.25,26,0.3,50,1,-1.41
"453",0.25,26,0.4,50,1,-1.67
"454",0.25,26,0.5,50,1,-1.89
"455",0.25,26,1,50,1,-2.66
"456",0.25,27,0,50,1,-0.12
"457",0.25,27,0.1,50,1,-0.17
"458",0.25,27,0.15,50,1,-0.4
"459",0.25,27,0.2,50,1,-0.58
"460",0.25,27,0.3,50,1,-0.87
"461",0.25,27,0.4,50,1,-1.1
"462",0.25,27,0.5,50,1,-1.29
"463",0.25,27,1,50,1,-1.97
"464",0.25,28,0,50,1,0.34
"465",0.25,28,0.1,50,1,0.27
"466",0.25,28,0.15,50,1,0.07
"467",0.25,28,0.2,50,1,-0.09
"468",0.25,28,0.3,50,1,-0.34
"469",0.25,28,0.4,50,1,-0.53
"470",0.25,28,0.5,50,1,-0.7
"471",0.25,28,1,50,1,-1.28
"472",0.25,29,0,50,1,0.8
"473",0.25,29,0.1,50,1,0.71
"474",0.25,29,0.15,50,1,0.54
"475",0.25,29,0.2,50,1,0.41
"476",0.25,29,0.3,50,1,0.2
"477",0.25,29,0.4,50,1,0.04
"478",0.25,29,0.5,50,1,-0.1
"479",0.25,29,1,50,1,-0.58
"480",0.25,30,0,50,1,1.25
"481",0.25,30,0.1,50,1,1.15
"482",0.25,30,0.15,50,1,1.02
"483",0.25,30,0.2,50,1,0.91
"484",0.25,30,0.3,50,1,0.74
"485",0.25,30,0.4,50,1,0.61
"486",0.25,30,0.5,50,1,0.5
"487",0.25,30,1,50,1,0.11
"488",0.25,31,0,50,1,1.71
"489",0.25,31,0.1,50,1,1.61
"490",0.25,31,0.15,50,1,1.51
"491",0.25,31,0.2,50,1,1.43
"492",0.25,31,0.3,50,1,1.3
"493",0.25,31,0.4,50,1,1.2
"494",0.25,31,0.5,50,1,1.12
"495",0.25,31,1,50,1,0.83
"496",0.5,23,0,50,1,-1.1
"497",0.5,23,0.1,50,1,-1.1
"498",0.5,23,0.15,50,1,-1.33
"499",0.5,23,0.2,50,1,-1.51
"500",0.5,23,0.3,50,1,-1.78
"501",0.5,23,0.4,50,1,-1.99
"502",0.5,23,0.5,50,1,-2.16
"503",0.5,24,0,50,1,-0.72
"504",0.5,24,0.1,50,1,-0.74
"505",0.5,24,0.15,50,1,-0.95
"506",0.5,24,0.2,50,1,-1.11
"507",0.5,24,0.3,50,1,-1.36
"508",0.5,24,0.4,50,1,-1.55
"509",0.5,24,0.5,50,1,-1.7
"510",0.5,24,1,50,1,-2.22
"511",0.5,25,0,50,1,-0.34
"512",0.5,25,0.1,50,1,-0.38
"513",0.5,25,0.15,50,1,-0.56
"514",0.5,25,0.2,50,1,-0.71
"515",0.5,25,0.3,50,1,-0.94
"516",0.5,25,0.4,50,1,-1.11
"517",0.5,25,0.5,50,1,-1.25
"518",0.5,25,1,50,1,-1.71
"519",0.5,26,0,50,1,0.04
"520",0.5,26,0.1,50,1,-0.01
"521",0.5,26,0.15,50,1,-0.18
"522",0.5,26,0.2,50,1,-0.31
"523",0.5,26,0.3,50,1,-0.51
"524",0.5,26,0.4,50,1,-0.66
"525",0.5,26,0.5,50,1,-0.79
"526",0.5,26,1,50,1,-1.19
"527",0.5,27,0,50,1,0.42
"528",0.5,27,0.1,50,1,0.35
"529",0.5,27,0.15,50,1,0.2
"530",0.5,27,0.2,50,1,0.09
"531",0.5,27,0.3,50,1,-0.08
"532",0.5,27,0.4,50,1,-0.22
"533",0.5,27,0.5,50,1,-0.33
"534",0.5,27,1,50,1,-0.68
"535",0.5,28,0,50,1,0.8
"536",0.5,28,0.1,50,1,0.72
"537",0.5,28,0.15,50,1,0.59
"538",0.5,28,0.2,50,1,0.49
"539",0.5,28,0.3,50,1,0.34
"540",0.5,28,0.4,50,1,0.23
"541",0.5,28,0.5,50,1,0.14
"542",0.5,28,1,50,1,-0.17
"543",0.5,29,0,50,1,1.17
"544",0.5,29,0.1,50,1,1.08
"545",0.5,29,0.15,50,1,0.98
"546",0.5,29,0.2,50,1,0.9
"547",0.5,29,0.3,50,1,0.77
"548",0.5,29,0.4,50,1,0.68
"549",0.5,29,0.5,50,1,0.6
"550",0.5,29,1,50,1,0.34
"551",0.5,30,0,50,1,1.54
"552",0.5,30,0.1,50,1,1.45
"553",0.5,30,0.15,50,1,1.37
"554",0.5,30,0.2,50,1,1.3
"555",0.5,30,0.3,50,1,1.2
"556",0.5,30,0.4,50,1,1.13
"557",0.5,30,0.5,50,1,1.06
"558",0.5,30,1,50,1,0.86
"559",0.75,21,0,50,1,-1.11
"560",0.75,21,0.1,50,1,-1.11
"561",0.75,21,0.15,50,1,-1.3
"562",0.75,21,0.2,50,1,-1.44
"563",0.75,21,0.3,50,1,-1.66
"564",0.75,21,0.4,50,1,-1.82
"565",0.75,21,0.5,50,1,-1.95
"566",0.75,21,1,50,1,-2.36
"567",0.75,22,0,50,1,-0.79
"568",0.75,22,0.1,50,1,-0.81
"569",0.75,22,0.15,50,1,-0.98
"570",0.75,22,0.2,50,1,-1.11
"571",0.75,22,0.3,50,1,-1.31
"572",0.75,22,0.4,50,1,-1.46
"573",0.75,22,0.5,50,1,-1.58
"574",0.75,22,1,50,1,-1.95
"575",0.75,23,0,50,1,-0.47
"576",0.75,23,0.1,50,1,-0.5
"577",0.75,23,0.15,50,1,-0.66
"578",0.75,23,0.2,50,1,-0.78
"579",0.75,23,0.3,50,1,-0.96
"580",0.75,23,0.4,50,1,-1.09
"581",0.75,23,0.5,50,1,-1.2
"582",0.75,23,1,50,1,-1.55
"583",0.75,24,0,50,1,-0.15
"584",0.75,24,0.1,50,1,-0.19
"585",0.75,24,0.15,50,1,-0.33
"586",0.75,24,0.2,50,1,-0.44
"587",0.75,24,0.3,50,1,-0.61
"588",0.75,24,0.4,50,1,-0.73
"589",0.75,24,0.5,50,1,-0.83
"590",0.75,24,1,50,1,-1.14
"591",0.75,25,0,50,1,0.17
"592",0.75,25,0.1,50,1,0.112
"593",0.75,25,0.15,50,1,-0.01
"594",0.75,25,0.2,50,1,-0.11
"595",0.75,25,0.3,50,1,-0.26
"596",0.75,25,0.4,50,1,-0.37
"597",0.75,25,0.5,50,1,-0.46
"598",0.75,25,1,50,1,-0.74
"599",0.75,26,0,50,1,0.49
"600",0.75,26,0.1,50,1,0.43
"601",0.75,26,0.15,50,1,0.31
"602",0.75,26,0.2,50,1,0.23
